InternalId,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
6310,6310,0,0,0,0,0,,Yoff,Yoff,,Yoff,D_Yoff,Yoff (EPSG ID 6310),,,Yoff,,,,,,,Couldn't locate the operation method for this datum.,,0,0,0
6311,6311,0,0,0,0,0,,ZANDERIJ,Zanderij,ZANDERIJ,Zanderij,D_Zanderij,Zanderij (EPSG ID 6311),,,Zanderij,,,,Zanderij,,,,,0,0,0
6312,6312,0,0,0,0,0,,MGI,MGI,MGI-AT,Militar-Geographische Institut,D_MGI,Militar-Geographische Institut (EPSG ID 6312),,,Militar-Geographische Institut,,,,,,,,,0,0,0
6313,6313,0,0,0,0,0,,Belge72,Belge72,Belge72,Reseau National Belge 1972,D_Belge_1972,Reseau National Belge 1972 (EPSG ID 6313),,,Reseau National Belge 1972,,,,,,,,,0,0,0
6314,6314,0,0,0,0,0,,DHDN,DHDN,DHDN,Deutsches Hauptdreiecksnetz,D_Deutsches_Hauptdreiecksnetz|D_Deutsche_Hauptdreiecksnetz,Deutsches Hauptdreiecksnetz (EPSG ID 6314),,,Deutsches Hauptdreiecksnetz,,,,DHDN (Potsdam/Rauenberg),,,,Alias in ESRI name required to support a legacy misspelling of the name.,0,0,0
6315,6315,0,0,0,0,0,,Conakry05,Conakry05,Conakry1905,Conakry 1905,D_Conakry_1905,Conakry 1905 (EPSG ID 6315),,,Conakry 1905,,,,,,,,,0,0,0
6316,6316,0,0,0,0,0,,DealulPiscului33,DealulPiscului33,DealulPiscului1933,Dealul Piscului 1933,D_Dealul_Piscului_1933,Dealul Piscului 1933 (EPSG ID 6316),,,Dealul Piscului 1933,,,,,,,,,0,0,0
6317,6317,0,0,0,0,0,,DealulPiscului70,DealulPiscului70,DealulPiscului1970,Dealul Piscului 1970,D_Dealul_Piscului_1970,Dealul Piscului 1970 (EPSG ID 6317),,,Dealul Piscului 1970,,,,,,,,,0,65536,0
6318,6318,0,0,0,0,0,,NtlGeodeticNet,NtlGeodeticNet,NtlGeodeticNet,National Geodetic Network,D_NGN,National Geodetic Network (EPSG ID 6318),,,National Geodetic Network,,,,,,,,,0,65536,0
6319,6319,0,0,0,0,0,,KuwaitUtility,KuwaitUtility,KuwaitUtility,Kuwait Utility,D_Kuwait_Utility,Kuwait Utility (EPSG ID 6319),,,Kuwait Utility,,,,,,,,,0,65536,0
6322,6322,0,0,0,0,0,,WGS72,WGS72,WGS72,World Geodetic System 1972,D_WGS_1972,World Geodetic System 1972 (EPSG ID 6322),,,World Geodetic System 1972,,,,WGS 72,,,,,0,0,0
6324,6324,0,0,0,0,0,,WGS72-TBE,WGS72-TBE,WGS72-TBE,WGS 72 Transit Broadcast Ephemeris,D_WGS_1972_BE,WGS 72 Transit Broadcast Ephemeris (EPSG ID 6324),,,WGS 72 Transit Broadcast Ephemeris,,,,,,,,,0,0,0
6326,6326,0,0,0,0,0,,WGS84,WGS84,WGS84,World Geodetic System 1984,D_WGS_1984,World Geodetic System 1984 (EPSG ID 6326),,,World Geodetic System 1984,,,,WGS 84,D_WGS_1984,,,,0,0,0
6600,6600,0,0,0,0,0,,Anguilla57,Anguilla57,,Anguilla 1957,D_Anguilla_1957,Anguilla 1957 (EPSG ID 6600),,,Anguilla 1957,,,,,,,"This datum uses an unsupported transformation method.
",,0,0,0
6601,6601,0,0,0,0,0,,Antigua43,Antigua43,Antigua1943,Antigua 1943,D_Antigua_1943,Antigua 1943 (EPSG ID 6601),,,Antigua 1943,,,,,,,,,0,0,0
6602,6602,0,0,0,0,0,,Dominica45,Dominica45,Dominica1945,Dominica 1945,D_Dominica_1945,Dominica 1945 (EPSG ID 6602),,,Dominica 1945,,,,,,,,,0,0,0
6603,6603,0,0,0,0,0,,Grenada53,Grenada53,Grenada1953,Grenada 1953,D_Grenada_1953,Grenada 1953 (EPSG ID 6603),,,Grenada 1953,,,,,,,,,0,0,0
6604,6604,0,0,0,0,0,,Montserrat58,Montserrat58,Montserrat1958,Montserrat 1958,D_Montserrat_1958,Montserrat 1958 (EPSG ID 6604),,,Montserrat 1958,,,,,,,,,0,0,0
6605,6605,0,0,0,0,0,,StKitts55,StKitts55,StKitts1955,St. Kitts 1955,D_St_Kitts_1955,St. Kitts 1955 (EPSG ID 6605),,,St. Kitts 1955,,,,,,,,,0,0,0
6606,6606,0,0,0,0,0,,StLucia55,StLucia55,StLucia1955,St. Lucia 1955,D_St_Lucia_1955,St. Lucia 1955 (EPSG ID 6606),,,St. Lucia 1955,,,,,,,,,0,0,0
6607,6607,0,0,0,0,0,,StVincent45,StVincent45,StVincent1945,St. Vincent 1945,D_St_Vincent_1945,St. Vincent 1945 (EPSG ID 6607),,,St. Vincent 1945,,,,,,,,,0,65536,0
6608,6608,0,0,0,0,0,,NAD27Adj76,NAD27Adj76,,North American Datum 1927 (1976),D_NAD_1927_Definition_1976,North American Datum 1927 (1976) (EPSG ID 6608),,,,,,,,,,"This datum uses an unsupported transformation method.
",,0,0,0
6609,6609,0,0,0,0,0,,NAD27Cgq77,NAD27Cgq77,,North American Datum 1927 (CGQ77),D_NAD_1927_CGQ77,North American Datum 1927 (CGQ77) (EPSG ID 6609),,,,,,,,,,"This datum uses an unsupported transformation method.
",,0,0,0
6610,6610,0,0,0,0,0,,Xian80,Xian80,Xian80,Xian 1980,D_Xian_1980,Xian 1980 (EPSG ID 6610),,,Xian 1980,,,,,,,,,0,0,0
6611,6611,0,0,0,0,0,,HongKong80,HongKong80,HongKong80,Hong Kong 1980,D_Hong_Kong_1980,Hong Kong 1980 (EPSG ID 6611),,,Hong Kong 1980,,,,,,,,,0,0,0
6612,6612,0,0,0,0,0,,JGD2000,JGD2000,JGD2000-MOD,Japanese Geodetic Datum 2000,D_JGD_2000,Japanese Geodetic Datum 2000 (EPSG ID 6612),,,Japanese Geodetic Datum 2000,,,,,,,,,0,0,0
6613,6613,0,0,0,0,0,,Segara,GunungSegara,Samboja_1,Gunung Segara,D_Gunung_Segara,Gunung Segara (EPSG ID 6613),,,Gunung Segara,,,,,,,,,0,0,0
6614,6614,0,0,0,0,0,,QatarNtl95,QatarNtl95,QatarNtl95,Qatar National Datum 1995,D_QND_1995,Qatar National Datum 1995 (EPSG ID 6614),,,Qatar National Datum 1995,,,,,,,,,0,0,0
6615,6615,0,0,0,0,0,,MADEIRA,PortoSanto1936,MAD_SE,Porto Santo 1936,D_Porto_Santo_1936,Porto Santo 1936 (EPSG ID 6615),,,Porto Santo,,,,Southeast Base,,,,,0,0,0
6616,6616,0,0,0,0,0,,SelvagemGrande,SelvagemGrande,Selvagem,Selvagem Grande,D_Selvagem_Grande_1938,Selvagem Grande (EPSG ID 6616),,,Selvagem Grande,,,,,,,,,0,0,0
6618,0,0,0,0,0,0,,SAD69,,SAD69,,D_SAD69,South American Datum 1969 (EPSG ID 6291),,,,,,,,,,"The ESRI name given here is not an actual ESRI nam, a name invented to enable this legacy definition to be converted to, and from, ESRI WKT.","This entry is forlegacy purposes, and should be deleted in the future.  Widely distrubted information erroneously referenced the GRS1967 ellipsoid; thus the confusion here.  The differences are rather small, on the millimeter level.",0,0,0
6618,6618,0,0,0,0,0,,SA1969,,SAD1969,South American Datum 1969,D_South_American_1969,South American Datum 1969 (EPSG ID 6618),,,South American Datum 1969,,,,South American 1969,,,,,0,0,0
6619,6619,0,0,0,0,0,,SWEREF99,SWEREF99,SWEREF99,SWEREF99,D_SWEREF99,SWEREF99 (EPSG ID 6619),,,,,,,,,,,,0,0,0
6620,6620,0,0,0,0,0,,Point58,Point58,Point1958,Point 58,D_Point_58,Point 58 (EPSG ID 6620),,,,,,,,,,,,0,0,0
6621,6621,0,0,0,0,0,,FortMarigot,FortMarigot,FortMarigot_1,Fort Marigot,D_Fort_Marigot,Fort Marigot (EPSG ID 6621),,,,,,,,,,,,0,0,0
6622,6622,0,0,0,0,0,,StAnne,StAnne,Guadeloupe48,Guadeloupe 1948,D_Sainte_Anne,Sainte Anne (EPSG ID 6622),,,,,,,,,,,,0,0,0
6623,6623,0,0,0,0,0,,CSG67,CSG67,CSG1967,Centre Spatial Guyanais 1967,D_CSG_1967,Centre Spatial Guyanais 1967 (EPSG ID 6623),,,,,,,,,,,,0,0,0
6624,6624,0,0,0,0,0,,Guyane95,Guyane95,Guyane95,Reseau Geodesique Francais Guyane 1995,D_RGFG_1995,Reseau Geodesique Francais Guyane 1995 (EPSG ID 6624),,,,,,,,,,,,0,0,0
6625,6625,0,0,0,0,0,,FortDesaix,FortDesaix,Martinique38,Martinique 1938,D_Fort_Desaix,Fort Desaix (EPSG ID 6625),,,,,,,,,,,,0,0,0
6626,6626,0,0,0,0,0,,REUNION,Reunion,REUNION-ALT,Reunion 1947,D_Reunion,Piton des Neiges (EPSG ID 6626),,,,,,,Reunion,,,,,0,0,0
6627,6627,0,0,0,0,0,,Reunion92,Reunion92,Reunion92,Reseau Geodesique de la Reunion 1992,D_RGR_1992,Reseau Geodesique de la Reunion 1992 (EPSG ID 6627),,,,,,,,,,,,0,0,0
6628,6628,0,0,0,0,0,,Tahiti,Tahiti,Tahiti52,Tahiti 52,D_Tahiti,Tahiti (EPSG ID 6628),,,,,,,,,,,,0,0,0
6629,6629,0,0,0,0,0,,Tahaa,Tahaa,Tahaa54,Tahaa 54,D_Tahaa,Tahaa (EPSG ID 6629),,,,,,,,,,,,0,0,0
6630,6630,0,0,0,0,0,,IGN72NukuHiva|IGN72/NH,IGN72NukuHiva,IGN72NukuHiva|IGN72/NH,IGN72 Nuku Hiva,D_IGN72_Nuku_Hiva,IGN72 Nuku Hiva (EPSG ID 6630),,,,,,,,,,,,0,65536,0
6631,6631,0,0,0,0,0,,K01949,K0/49,K0/1949,K0 1949,D_K0_1949,K0 1949 (EPSG ID 6631),,,,,,,,,,,,0,0,0
6632,6632,0,0,0,0,0,,Combani50,Combani50,Combani1950,Combani 1950,D_Combani_1950,Combani 1950 (EPSG ID 6632),,,,,,,,,,,,0,0,0
6633,6633,0,0,0,0,0,,IGN56Lifou,IGN56Lifou,IGN56/Lifou,IGN56 Lifou,D_IGN56_Lifou,IGN56 Lifou (EPSG ID 6633),,,,,,,,,,,,0,0,0
6634,6634,0,0,0,0,0,,IGN72GrandeTerre,IGN72/GrandeTerre,IGN72/GrandeTerre,IGN72 Grande Terre,D_IGN72_Grande_Terre,IGN72 Grande Terre (EPSG ID 6634),,,,,,,,,,,,0,0,0
6635,6635,0,0,0,0,0,,ST87Ouvea,ST87Ouvea,ST87Ouvea,ST87 Ouvea,D_ST87_Ouvea,ST87 Ouvea (EPSG ID 6635),,,,,,,,,,,"Duplicate name caused by deprecation by EPSG.  Deprecation ID: 1076.  Evidently, the original had an incorrect ellipsoid reference.",0,0,0
6636,6636,0,0,0,0,0,,Petrels72,Petrels72,Petrels1972,Petrels 1972,D_Petrels_1972,Petrels 1972 (EPSG ID 6636),,,,,,,,,,,,0,0,0
6637,6637,0,0,0,0,0,,Perroud50,Perroud50,Perroud1950,Pointe Geologie Perroud 1950,D_Pointe_Geologie_Perroud_1950,Pointe Geologie Perroud 1950 (EPSG ID 6637),,,,,,,,,,,,0,0,0
6638,6638,0,0,0,0,0,,Miquelon50,Miquelon50,Miquelon1950,Saint Pierre et Miquelon 1950,D_Saint_Pierre_et_Miquelon_1950,Saint Pierre et Miquelon 1950 (EPSG ID 6638),,,,,,,,,,,,0,0,0
6639,6639,0,0,0,0,0,,MOP78,MOP78,MOP1978,MOP78,D_MOP78,MOP78 (EPSG ID 6639),,,,,,,,,,,,0,0,0
6640,6640,0,0,0,0,0,,Antilles91,Antilles91,Antilles91,Reseau de Reference des Antilles Francaises 1991,D_RRAF_1991,Reseau de Reference des Antilles Francaises 1991 (EPSG ID 6640),,,,,,,,,,,,0,0,0
6641,6641,0,0,0,0,0,,IGN53/Mare,IGN53/Mare,IGN53/Mare,IGN53 Mare,D_IGN53_Mare,IGN53 Mare (EPSG ID 6641),,,,,,,,,,,,0,65536,0
6642,6642,0,0,0,0,0,,ST84IleDesPins,ST84IleDesPins,ST84IleDesPins,ST84 Ile des Pins,D_ST84_Ile_des_Pins,ST84 Ile des Pins (EPSG ID 6642),,,,,,,,,,,,0,0,0
6643,6643,0,0,0,0,0,,ST71Belep,ST71Belep,ST71Belep,ST71 Belep,D_ST71_Belep,ST71 Belep (EPSG ID 6643),,,,,,,,,,,,0,0,0
6644,6644,0,0,0,0,0,,NEA74Noumea,NEA74Noumea,NEA74Noumea,NEA74 Noumea,D_NEA74_Noumea,NEA74 Noumea (EPSG ID 6644),,,,,,,,,,,,0,0,0
6645,6645,0,0,0,0,0,,Caledonie91,Caledonie91,Caledonie91,Reseau Geodesique Nouvelle Caledonie 1991,D_RGNC_1991,Reseau Geodesique Nouvelle Caledonie 1991 (EPSG ID 6645),,,,,,,,,,,,0,0,0
6646,6646,0,0,0,0,0,,GrandComoros,GrandComoros,,Grand Comoros,D_Grand_Comoros,Grand Comoros (EPSG ID 6646),,,,,,,,,,Couldn't locate the operation method for this datum.,,0,0,0
6647,6647,0,0,0,0,0,,,ITRF1988,,IERS Terrestrial Reference Frame 1988,D_ITRF_1988,,,,,,,,,,,"Couldn't locate a geographic reference to this datum, thus no transformation definition could be obtained",,0,0,0
6648,6648,0,0,0,0,0,,,ITRF1989,,IERS Terrestrial Reference Frame 1989,D_ITRF_1989,,,,,,,,,,,"Couldn't locate a geographic reference to this datum, thus no transformation definition could be obtained",,0,0,0
6649,6649,0,0,0,0,0,,,ITRF1990,,IERS Terrestrial Reference Frame 1990,D_ITRF_1990,,,,,,,,,,,"Couldn't locate a geographic reference to this datum, thus no transformation definition could be obtained",,0,0,0
6650,6650,0,0,0,0,0,,,ITRF1991,,IERS Terrestrial Reference Frame 1991,D_ITRF_1991,,,,,,,,,,,"Couldn't locate a geographic reference to this datum, thus no transformation definition could be obtaine.",,0,0,0
6651,6651,0,0,0,0,0,,,ITRF1992,,IERS Terrestrial Reference Frame 1992,D_ITRF_1992,,,,,,,,,,,"Couldn't locate a geographic reference to this datum, thus no transformation definition could be obtained",,0,0,0
