InternalId,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
7014,7014,0,0,0,0,0,,CLRK22,Clarke1880/SGA/1922,CLRK22,Clarke 1880 (SGA 1922),Clarke_1880_SGA,Clarke 1880 (SGA 1922) (EPSG ID 7014),,,Clarke 1880 (SGA 1922),,,,Clarke 1880 (Merchich),,,,,0,0,0
7015,7015,0,0,0,0,0,,EVEREST,Everest1830/37,EVEREST,Everest 1830 (1937 Adjustment),Everest_Adjustment_1937,Everest 1830 (1937 Adjustment) (EPSG ID 7015),,,Everest 1830 (1937 Adjustment),,,,Everest,,,,,0,0,0
7016,7016,0,0,0,0,0,,Everest1830/67,Everest1830/67,Everest1830/67,Everest 1830 (1967 Definition),Everest_Definition_1967,Everest 1830 (1967 Definition) (EPSG ID 7016),,,Everest 1830 (1967 Definition),,,,,,,,,0,0,0
7018,7018,0,0,0,0,0,,EVRST-MD,EverestModified/1830,EVRST-MD,Everest 1830 Modified,Everest_1830_Modified,Everest 1830 Modified (EPSG ID 7018),,,Everest 1830 Modified,,,,Everest (Kertau),,,,,0,0,0
7019,7019,0,0,0,0,0,,GRS1980,GRS80,GRS1980,GRS 1980,GRS_1980,GRS 1980 (EPSG ID 7019),,,GRS 1980,,,,GRS 80,GRS 80,,,,0,0,0
7020,7020,0,0,0,0,0,,HLMRT06,Helmert06,HLMRT06,Helmert 1906,Helmert_1906,Helmert 1906 (EPSG ID 7020),,,Helmert 1906,,,,Helmert 1906,,,,,0,0,0
7021,7021,0,0,0,0,0,,IndonesianNtl,IndonesianNtl,IndonesianNtl,Indonesian National Spheroid,Indonesian,Indonesian National Spheroid (EPSG ID 7021),,,Indonesian National Spheroid,,,,,,,,,0,0,0
7022,7022,0,0,0,0,0,,INTNL,International24,INTNL,International 1924,International_1924,International 1924 (EPSG ID 7022),,,International 1924,,,,International 1924,,,,,0,0,0
7024,7024,0,0,0,0,0,,KRASOV,Krassovskiy40,KRASOV,Krassowsky 1940,Krasovsky_1940,Krassowsky 1940 (EPSG ID 7024),,,Krassowsky 1940,,,,Krassovsky,,,,,0,0,0
7025,7025,0,0,0,0,0,,NWL-9D,NWL-9D,NWL-9D,NWL 9D,NWL_9D,NWL 9D (EPSG ID 7025),,,NWL 9D,,,,WGS 66,,,,,0,0,0
7027,7027,0,0,0,0,0,,PLESSIS,Plessis1817,PLESSIS,Plessis 1817,Plessis_1817,Plessis 1817 (EPSG ID 7027),,,Plessis 1817,,,,,,,,,0,0,0
7028,7028,0,0,0,0,0,,STRU1860,Struve1860,STRU1860,Struve 1860,Struve_1860,Struve 1860 (EPSG ID 7028),,,Struve 1860,,,,,,,,,0,0,0
7029,7029,0,0,0,0,0,,WarOffice,WarOffice,WarOffice,War Office,War_Office,War Office (EPSG ID 7029),,,War Office,,,,,,,,,0,0,0
7030,7030,0,0,0,0,0,,WGS84,WGS84,WGS84,WGS 84,WGS_1984,WGS 84 (EPSG ID 7030),,,WGS 84,,,,WGS 84,World_Geodetic_System_of_1984,,,,0,0,0
7031,7031,0,0,0,0,0,,GEM-10C,GEM 10C,GEM-10C,GEM 10C,GEM_10C,GEM 10C (EPSG ID 7031),,,GEM 10C,,,,,,,,,0,0,0
7032,7032,0,0,0,0,0,,OSU86F,OSU86F,OSU86F,OSU86F,OSU_86F,OSU86F (EPSG ID 7032),,,OSU86F,,,,,,,,,0,0,0
